Model,Scenario,Region,Year,Residues,Energy_crops,Waste,Solid_total,Prim_eng_bio,Unit,Share_energy_crops,Source,Estimation
AIM,SSP2-60,World,2060,55770.75046,1363834.537,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-60,World,2070,83085.81725,1779448.734,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-60,World,2080,115117.6586,2061037.643,,,,Kt/yr,0.95,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-60,World,2090,145600.9691,2348290.684,,,,Kt/yr,0.94,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-60,World,2100,170789.0357,2636823.085,,,,Kt/yr,0.94,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2020,5060.485711,8710.680866,,,,Kt/yr,0.63,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2030,9537.614439,22089.09712,,,,Kt/yr,0.7,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2040,18128.36012,57171.22782,,,,Kt/yr,0.76,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2050,31541.82772,150979.2916,,,,Kt/yr,0.83,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2060,50295.13915,279833.624,,,,Kt/yr,0.85,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2070,73911.5568,447158.925,,,,Kt/yr,0.86,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2080,102659.3887,623282.2224,,,,Kt/yr,0.86,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2090,130531.1933,720748.4196,,,,Kt/yr,0.85,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2100,157177.6123,834084.0253,,,,Kt/yr,0.84,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-26,World,2020,6636.647128,11153.07733,,,,Kt/yr,0.63,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-26,World,2030,22805.10006,88689.21849,,,,Kt/yr,0.8,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-26,World,2040,105126.2391,755145.0025,,,,Kt/yr,0.88,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-26,World,2050,273965.799,1332593.271,,,,Kt/yr,0.83,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-26,World,2060,503911.9102,2079500.621,,,,Kt/yr,0.8,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-26,World,2070,805350.159,2580906.855,,,,Kt/yr,0.76,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-26,World,2080,1078019.741,2830656.569,,,,Kt/yr,0.72,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-26,World,2090,1279993.27,3011725.913,,,,Kt/yr,0.7,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-26,World,2100,1424989.51,3151244.737,,,,Kt/yr,0.69,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-34,World,2020,6232.932897,10413.35024,,,,Kt/yr,0.63,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-34,World,2030,15836.17879,56301.73605,,,,Kt/yr,0.78,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-34,World,2040,39226.81972,456207.2191,,,,Kt/yr,0.92,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-34,World,2050,88759.94045,1094488.996,,,,Kt/yr,0.92,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-34,World,2060,185543.9864,1597705.084,,,,Kt/yr,0.9,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-34,World,2070,343871.8225,1975212.28,,,,Kt/yr,0.85,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-34,World,2080,591802.6898,2361254.895,,,,Kt/yr,0.8,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-34,World,2090,829155.8598,2713834.159,,,,Kt/yr,0.77,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-34,World,2100,1069435.74,3022724.653,,,,Kt/yr,0.74,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-45,World,2020,5911.771116,9823.401979,,,,Kt/yr,0.62,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-45,World,2030,13024.9332,42173.35111,,,,Kt/yr,0.76,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-45,World,2040,28482.5553,311483.0436,,,,Kt/yr,0.92,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-45,World,2050,64530.49332,833368.0198,,,,Kt/yr,0.93,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-45,World,2060,131763.0122,1467879.362,,,,Kt/yr,0.92,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-45,World,2070,208911.8509,1875144.767,,,,Kt/yr,0.9,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-45,World,2080,300811.0886,2303348.612,,,,Kt/yr,0.88,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-45,World,2090,441218.4777,2327529.876,,,,Kt/yr,0.84,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-45,World,2100,681352.5508,2681070.481,,,,Kt/yr,0.8,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-60,World,2020,5717.823381,9462.702482,,,,Kt/yr,0.62,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-60,World,2030,12472.49259,39379.23257,,,,Kt/yr,0.76,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-60,World,2040,26825.35266,282099.2875,,,,Kt/yr,0.91,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-60,World,2050,55261.25963,695703.2056,,,,Kt/yr,0.93,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-60,World,2060,102130.61,1180328.427,,,,Kt/yr,0.92,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-60,World,2070,166820.8242,1543427.859,,,,Kt/yr,0.9,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-60,World,2080,223365.5246,1846821.496,,,,Kt/yr,0.89,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-60,World,2090,289013.8697,2156425.013,,,,Kt/yr,0.88,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-60,World,2100,380685.6598,2511491.117,,,,Kt/yr,0.87,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-Baseline,World,2020,5634.527604,8717.499771,,,,Kt/yr,0.61,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-Baseline,World,2030,12321.02179,22828.41443,,,,Kt/yr,0.65,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-Baseline,World,2040,26150.7244,56473.27937,,,,Kt/yr,0.68,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-Baseline,World,2050,50691.43625,132434.3662,,,,Kt/yr,0.72,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-Baseline,World,2060,88154.28109,233349.9051,,,,Kt/yr,0.73,Internal document,Share = Energy crops / (Energy crops + Residues)
