mitigation_option,year,scenario,file_name
BECCS,2080,SSP3-Baseline,BECCS_SSP3-Baseline_2080.tif
Afforestation,2090,SSP1-19,Afforestation_SSP1-19_2090.tif
BECCS,2090,SSP1-19,BECCS_SSP1-19_2090.tif
Afforestation,2090,SSP1-26,Afforestation_SSP1-26_2090.tif
BECCS,2090,SSP1-26,BECCS_SSP1-26_2090.tif
Afforestation,2090,SSP1-34,Afforestation_SSP1-34_2090.tif
BECCS,2090,SSP1-34,BECCS_SSP1-34_2090.tif
Afforestation,2090,SSP1-45,Afforestation_SSP1-45_2090.tif
BECCS,2090,SSP1-45,BECCS_SSP1-45_2090.tif
Afforestation,2090,SSP1-Baseline,Afforestation_SSP1-Baseline_2090.tif
BECCS,2090,SSP1-Baseline,BECCS_SSP1-Baseline_2090.tif
Afforestation,2090,SSP2-19,Afforestation_SSP2-19_2090.tif
BECCS,2090,SSP2-19,BECCS_SSP2-19_2090.tif
Afforestation,2090,SSP2-26,Afforestation_SSP2-26_2090.tif
BECCS,2090,SSP2-26,BECCS_SSP2-26_2090.tif
Afforestation,2090,SSP2-34,Afforestation_SSP2-34_2090.tif
BECCS,2090,SSP2-34,BECCS_SSP2-34_2090.tif
Afforestation,2090,SSP2-45,Afforestation_SSP2-45_2090.tif
BECCS,2090,SSP2-45,BECCS_SSP2-45_2090.tif
Afforestation,2090,SSP2-60,Afforestation_SSP2-60_2090.tif
BECCS,2090,SSP2-60,BECCS_SSP2-60_2090.tif
Afforestation,2090,SSP2-Baseline,Afforestation_SSP2-Baseline_2090.tif
BECCS,2090,SSP2-Baseline,BECCS_SSP2-Baseline_2090.tif
Afforestation,2090,SSP3-34,Afforestation_SSP3-34_2090.tif
BECCS,2090,SSP3-34,BECCS_SSP3-34_2090.tif
Afforestation,2090,SSP3-45,Afforestation_SSP3-45_2090.tif
BECCS,2090,SSP3-45,BECCS_SSP3-45_2090.tif
Afforestation,2090,SSP3-60,Afforestation_SSP3-60_2090.tif
BECCS,2090,SSP3-60,BECCS_SSP3-60_2090.tif
Afforestation,2090,SSP3-Baseline,Afforestation_SSP3-Baseline_2090.tif
BECCS,2090,SSP3-Baseline,BECCS_SSP3-Baseline_2090.tif
Afforestation,2100,SSP1-19,Afforestation_SSP1-19_2100.tif
BECCS,2100,SSP1-19,BECCS_SSP1-19_2100.tif
Afforestation,2100,SSP1-26,Afforestation_SSP1-26_2100.tif
BECCS,2100,SSP1-26,BECCS_SSP1-26_2100.tif
Afforestation,2100,SSP1-34,Afforestation_SSP1-34_2100.tif
BECCS,2100,SSP1-34,BECCS_SSP1-34_2100.tif
Afforestation,2100,SSP1-45,Afforestation_SSP1-45_2100.tif
BECCS,2100,SSP1-45,BECCS_SSP1-45_2100.tif
Afforestation,2100,SSP1-Baseline,Afforestation_SSP1-Baseline_2100.tif
BECCS,2100,SSP1-Baseline,BECCS_SSP1-Baseline_2100.tif
Afforestation,2100,SSP2-19,Afforestation_SSP2-19_2100.tif
BECCS,2100,SSP2-19,BECCS_SSP2-19_2100.tif
Afforestation,2100,SSP2-26,Afforestation_SSP2-26_2100.tif
BECCS,2100,SSP2-26,BECCS_SSP2-26_2100.tif
Afforestation,2100,SSP2-34,Afforestation_SSP2-34_2100.tif
BECCS,2100,SSP2-34,BECCS_SSP2-34_2100.tif
Afforestation,2100,SSP2-45,Afforestation_SSP2-45_2100.tif
BECCS,2100,SSP2-45,BECCS_SSP2-45_2100.tif
Afforestation,2100,SSP2-60,Afforestation_SSP2-60_2100.tif
BECCS,2100,SSP2-60,BECCS_SSP2-60_2100.tif
Afforestation,2100,SSP2-Baseline,Afforestation_SSP2-Baseline_2100.tif
BECCS,2100,SSP2-Baseline,BECCS_SSP2-Baseline_2100.tif
Afforestation,2100,SSP3-34,Afforestation_SSP3-34_2100.tif
BECCS,2100,SSP3-34,BECCS_SSP3-34_2100.tif
Afforestation,2100,SSP3-45,Afforestation_SSP3-45_2100.tif
BECCS,2100,SSP3-45,BECCS_SSP3-45_2100.tif
Afforestation,2100,SSP3-60,Afforestation_SSP3-60_2100.tif
BECCS,2100,SSP3-60,BECCS_SSP3-60_2100.tif
Afforestation,2100,SSP3-Baseline,Afforestation_SSP3-Baseline_2100.tif
BECCS,2100,SSP3-Baseline,BECCS_SSP3-Baseline_2100.tif
